date,raw_date_label,date_reconstructed,date_reconstruction_reason,impressions,clicks,ctr,source,input_file,input_column
2026-04-23,4.23,true,filename_range_column_sequence,5,0,0,naver,reports\search-performance-input\naver-daily-2026-04-23_2026-07-19.csv,2
2026-04-24,4.24,true,filename_range_column_sequence,6,0,0,naver,reports\search-performance-input\naver-daily-2026-04-23_2026-07-19.csv,3
2026-04-25,4.25,true,filename_range_column_sequence,10,0,0,naver,reports\search-performance-input\naver-daily-2026-04-23_2026-07-19.csv,4
2026-04-26,4.26,true,filename_range_column_sequence,6,0,0,naver,reports\search-performance-input\naver-daily-2026-04-23_2026-07-19.csv,5
2026-04-27,4.27,true,filename_range_column_sequence,5,0,0,naver,reports\search-performance-input\naver-daily-2026-04-23_2026-07-19.csv,6
2026-04-28,4.28,true,filename_range_column_sequence,6,1,0.16666666666666666,naver,reports\search-performance-input\naver-daily-2026-04-23_2026-07-19.csv,7
2026-04-29,4.29,true,filename_range_column_sequence,7,0,0,naver,reports\search-performance-input\naver-daily-2026-04-23_2026-07-19.csv,8
2026-04-30,4.3,true,filename_range_column_sequence,10,1,0.1,naver,reports\search-performance-input\naver-daily-2026-04-23_2026-07-19.csv,9
2026-05-01,5.01,true,filename_range_column_sequence,4,1,0.25,naver,reports\search-performance-input\naver-daily-2026-04-23_2026-07-19.csv,10
2026-05-02,5.02,true,filename_range_column_sequence,7,0,0,naver,reports\search-performance-input\naver-daily-2026-04-23_2026-07-19.csv,11
2026-05-03,5.03,true,filename_range_column_sequence,21,0,0,naver,reports\search-performance-input\naver-daily-2026-04-23_2026-07-19.csv,12
2026-05-04,5.04,true,filename_range_column_sequence,52,0,0,naver,reports\search-performance-input\naver-daily-2026-04-23_2026-07-19.csv,13
2026-05-05,5.05,true,filename_range_column_sequence,36,0,0,naver,reports\search-performance-input\naver-daily-2026-04-23_2026-07-19.csv,14
2026-05-06,5.06,true,filename_range_column_sequence,71,0,0,naver,reports\search-performance-input\naver-daily-2026-04-23_2026-07-19.csv,15
2026-05-07,5.07,true,filename_range_column_sequence,47,3,0.06382978723404255,naver,reports\search-performance-input\naver-daily-2026-04-23_2026-07-19.csv,16
2026-05-08,5.08,true,filename_range_column_sequence,25,0,0,naver,reports\search-performance-input\naver-daily-2026-04-23_2026-07-19.csv,17
2026-05-09,5.09,true,filename_range_column_sequence,36,3,0.08333333333333333,naver,reports\search-performance-input\naver-daily-2026-04-23_2026-07-19.csv,18
2026-05-10,5.1,true,filename_range_column_sequence,48,10,0.20833333333333334,naver,reports\search-performance-input\naver-daily-2026-04-23_2026-07-19.csv,19
2026-05-11,5.11,true,filename_range_column_sequence,49,0,0,naver,reports\search-performance-input\naver-daily-2026-04-23_2026-07-19.csv,20
2026-05-12,5.12,true,filename_range_column_sequence,32,3,0.09375,naver,reports\search-performance-input\naver-daily-2026-04-23_2026-07-19.csv,21
2026-05-13,5.13,true,filename_range_column_sequence,54,4,0.07407407407407407,naver,reports\search-performance-input\naver-daily-2026-04-23_2026-07-19.csv,22
2026-05-14,5.14,true,filename_range_column_sequence,58,0,0,naver,reports\search-performance-input\naver-daily-2026-04-23_2026-07-19.csv,23
2026-05-15,5.15,true,filename_range_column_sequence,71,0,0,naver,reports\search-performance-input\naver-daily-2026-04-23_2026-07-19.csv,24
2026-05-16,5.16,true,filename_range_column_sequence,32,0,0,naver,reports\search-performance-input\naver-daily-2026-04-23_2026-07-19.csv,25
2026-05-17,5.17,true,filename_range_column_sequence,29,0,0,naver,reports\search-performance-input\naver-daily-2026-04-23_2026-07-19.csv,26
2026-05-18,5.18,true,filename_range_column_sequence,38,0,0,naver,reports\search-performance-input\naver-daily-2026-04-23_2026-07-19.csv,27
2026-05-19,5.19,true,filename_range_column_sequence,46,2,0.043478260869565216,naver,reports\search-performance-input\naver-daily-2026-04-23_2026-07-19.csv,28
2026-05-20,5.2,true,filename_range_column_sequence,54,5,0.09259259259259259,naver,reports\search-performance-input\naver-daily-2026-04-23_2026-07-19.csv,29
2026-05-21,5.21,true,filename_range_column_sequence,103,5,0.04854368932038835,naver,reports\search-performance-input\naver-daily-2026-04-23_2026-07-19.csv,30
2026-05-22,5.22,true,filename_range_column_sequence,101,2,0.019801980198019802,naver,reports\search-performance-input\naver-daily-2026-04-23_2026-07-19.csv,31
2026-05-23,5.23,true,filename_range_column_sequence,167,5,0.029940119760479042,naver,reports\search-performance-input\naver-daily-2026-04-23_2026-07-19.csv,32
2026-05-24,5.24,true,filename_range_column_sequence,291,5,0.01718213058419244,naver,reports\search-performance-input\naver-daily-2026-04-23_2026-07-19.csv,33
2026-05-25,5.25,true,filename_range_column_sequence,392,5,0.012755102040816327,naver,reports\search-performance-input\naver-daily-2026-04-23_2026-07-19.csv,34
2026-05-26,5.26,true,filename_range_column_sequence,952,7,0.007352941176470588,naver,reports\search-performance-input\naver-daily-2026-04-23_2026-07-19.csv,35
2026-05-27,5.27,true,filename_range_column_sequence,947,20,0.021119324181626188,naver,reports\search-performance-input\naver-daily-2026-04-23_2026-07-19.csv,36
2026-05-28,5.28,true,filename_range_column_sequence,923,7,0.007583965330444204,naver,reports\search-performance-input\naver-daily-2026-04-23_2026-07-19.csv,37
2026-05-29,5.29,true,filename_range_column_sequence,845,11,0.01301775147928994,naver,reports\search-performance-input\naver-daily-2026-04-23_2026-07-19.csv,38
2026-05-30,5.3,true,filename_range_column_sequence,498,2,0.004016064257028112,naver,reports\search-performance-input\naver-daily-2026-04-23_2026-07-19.csv,39
2026-05-31,5.31,true,filename_range_column_sequence,652,8,0.012269938650306749,naver,reports\search-performance-input\naver-daily-2026-04-23_2026-07-19.csv,40
2026-06-01,6.01,true,filename_range_column_sequence,1576,20,0.012690355329949238,naver,reports\search-performance-input\naver-daily-2026-04-23_2026-07-19.csv,41
2026-06-02,6.02,true,filename_range_column_sequence,1289,12,0.009309542280837859,naver,reports\search-performance-input\naver-daily-2026-04-23_2026-07-19.csv,42
2026-06-03,6.03,true,filename_range_column_sequence,768,8,0.010416666666666666,naver,reports\search-performance-input\naver-daily-2026-04-23_2026-07-19.csv,43
