path,url,width,viewport,referrer,pass,httpStatus,navigationError,adsenseCategory,hydrationErrorCount,reactErrorCodes,pageErrorCount,consoleErrorCount,fatalConsoleCount,adBootstrapScriptCount,adBootstrapRequestCount,adScriptAfterNext,hasDataNscript,scriptDefer,crossoriginOk,publisherClientOk,slotCount,slotPushedCount,slotFailedCount,slotStatusCount,filledSlotCount,unfilledSlotCount,adRequestCount,adsbygoogleType,adsbygooglePushType,adsbygoogleLength,firstSlotPushAttempts,networkBlocked,consoleErrors,pageErrors
/,https://www.finmaphub.com/,320,320,direct_clean_context,true,200,,AD_REQUEST_SENT_NO_FILL,0,,0,0,0,1,1,true,false,true,true,true,2,0,0,2,0,1,5,object,function,,,false,,
/,https://www.finmaphub.com/,390,390,direct_clean_context,true,200,,AD_REQUEST_SENT_FILLED,0,,0,0,0,1,1,true,false,true,true,true,4,0,0,4,2,1,38,object,function,,,false,,
/,https://www.finmaphub.com/,1280,1280,direct_clean_context,true,200,,AD_REQUEST_SENT_FILLED,0,,0,0,0,1,1,true,false,true,true,true,4,0,0,4,2,2,39,object,function,,,false,,
/tools/compound-interest,https://www.finmaphub.com/tools/compound-interest,320,320,direct_clean_context,true,200,,AD_REQUEST_SENT_FILLED,0,,0,0,0,1,2,true,false,true,true,true,4,0,0,4,2,1,57,object,function,,,false,,
/tools/compound-interest,https://www.finmaphub.com/tools/compound-interest,390,390,direct_clean_context,true,200,,AD_REQUEST_SENT_FILLED,0,,0,0,0,1,1,true,false,true,true,true,4,0,0,4,2,1,39,object,function,,,false,,
/tools/compound-interest,https://www.finmaphub.com/tools/compound-interest,1280,1280,direct_clean_context,true,200,,AD_REQUEST_SENT_FILLED,0,,0,0,0,1,1,true,false,true,true,true,4,0,0,4,2,1,60,object,function,,,false,,
/tools/dsr-ltv-calculator,https://www.finmaphub.com/tools/dsr-ltv-calculator,320,320,direct_clean_context,false,200,,SLOT_PUSH_FAILED,1,418,1,1,1,1,1,true,false,true,true,true,9,0,0,7,4,1,73,object,function,,,false,error: Error: no_div,Minified React error #418; visit https://react.dev/errors/418?args[]=HTML&args[]= for the full message or use the non-minified dev environment for full errors and additional helpful warnings.
/tools/dsr-ltv-calculator,https://www.finmaphub.com/tools/dsr-ltv-calculator,390,390,direct_clean_context,false,200,,SLOT_PUSH_FAILED,1,418,1,1,1,1,1,true,false,true,true,true,9,0,0,7,4,1,74,object,function,,,false,error: Error: no_div,Minified React error #418; visit https://react.dev/errors/418?args[]=HTML&args[]= for the full message or use the non-minified dev environment for full errors and additional helpful warnings.
/tools/dsr-ltv-calculator,https://www.finmaphub.com/tools/dsr-ltv-calculator,1280,1280,direct_clean_context,false,200,,SLOT_PUSH_FAILED,1,418,1,1,1,1,1,true,false,true,true,true,8,0,0,6,4,1,68,object,function,,,false,error: Error: no_div,Minified React error #418; visit https://react.dev/errors/418?args[]=HTML&args[]= for the full message or use the non-minified dev environment for full errors and additional helpful warnings.
/tools/home-buying-budget-calculator,https://www.finmaphub.com/tools/home-buying-budget-calculator,320,320,direct_clean_context,false,200,,SLOT_PUSH_FAILED,1,418,1,1,1,1,1,true,false,true,true,true,9,0,0,7,3,2,56,object,function,,,false,error: Error: no_div,Minified React error #418; visit https://react.dev/errors/418?args[]=HTML&args[]= for the full message or use the non-minified dev environment for full errors and additional helpful warnings.
