condition,targetGroup,path,viewport,run,mainStatus,pass,react418,hydrationErrorCount,otherPageErrorCount,bootstrapLoaded,bootstrapScriptCount,bootstrapRequestCount,adRequestCount,blockedRequestCount,slotCount,slotPushed,slotFailed,slotStatusCount,slotFailedCount,buildId,horizontalOverflow,h1Count,inputCount,ctaCount,mutationCount
CONTROL,primary,/tools/mortgage-loan-calculator,320,1,200,false,1,1,0,true,1,1,25,0,2,true,false,2,0,EH0IyY6JnzVJFzswcpSZ6,false,1,6,5,10
CONTROL,primary,/tools/mortgage-loan-calculator,320,2,200,false,1,1,0,true,1,1,25,0,2,true,false,2,0,EH0IyY6JnzVJFzswcpSZ6,false,1,6,5,10
CONTROL,primary,/tools/mortgage-loan-calculator,320,3,200,false,1,1,0,true,1,1,25,0,2,true,false,2,0,EH0IyY6JnzVJFzswcpSZ6,false,1,6,5,10
CONTROL,primary,/tools/mortgage-loan-calculator,320,4,200,false,1,1,0,true,1,1,51,0,3,true,false,3,0,EH0IyY6JnzVJFzswcpSZ6,false,1,6,5,10
CONTROL,primary,/tools/mortgage-loan-calculator,320,5,200,false,1,1,0,true,1,1,25,0,2,true,false,2,0,EH0IyY6JnzVJFzswcpSZ6,false,1,6,5,10
CONTROL,primary,/tools/mortgage-loan-calculator,320,6,200,true,0,0,0,true,1,1,53,0,4,true,false,4,0,EH0IyY6JnzVJFzswcpSZ6,false,1,6,5,14
CONTROL,primary,/tools/mortgage-loan-calculator,320,7,200,false,1,1,0,true,1,1,25,0,2,true,false,2,0,EH0IyY6JnzVJFzswcpSZ6,false,1,6,5,10
CONTROL,primary,/tools/mortgage-loan-calculator,320,8,200,false,1,1,0,true,1,1,25,0,2,true,false,2,0,EH0IyY6JnzVJFzswcpSZ6,false,1,6,5,10
CONTROL,primary,/tools/mortgage-loan-calculator,320,9,200,true,0,0,0,true,1,1,50,0,3,true,false,3,0,EH0IyY6JnzVJFzswcpSZ6,false,1,6,5,14
CONTROL,primary,/tools/mortgage-loan-calculator,320,10,200,false,1,1,0,true,1,1,25,0,2,true,false,2,0,EH0IyY6JnzVJFzswcpSZ6,false,1,6,5,10
CONTROL,extra,/en/tools/mortgage-loan-calculator,320,1,200,false,1,1,0,true,1,2,66,0,4,true,false,4,0,EH0IyY6JnzVJFzswcpSZ6,false,1,6,5,10
CONTROL,extra,/en/tools/mortgage-loan-calculator,390,1,200,false,1,1,0,true,1,1,25,0,2,true,false,2,0,EH0IyY6JnzVJFzswcpSZ6,false,1,6,5,10
CONTROL,extra,/en/tools/mortgage-loan-calculator,1280,1,200,false,1,1,0,true,1,1,27,0,2,true,false,2,0,EH0IyY6JnzVJFzswcpSZ6,false,1,6,5,18
CONTROL,extra,/tools/compound-interest,320,1,200,true,0,0,0,true,1,2,24,0,2,true,false,2,0,EH0IyY6JnzVJFzswcpSZ6,false,1,10,0,5
CONTROL,extra,/tools/compound-interest,390,1,200,true,0,0,0,true,1,1,25,0,2,true,false,2,0,EH0IyY6JnzVJFzswcpSZ6,false,1,10,0,5
CONTROL,extra,/tools/compound-interest,1280,1,200,true,0,0,0,true,1,1,25,0,2,true,false,2,0,EH0IyY6JnzVJFzswcpSZ6,false,1,10,0,3
CONTROL,extra,/tools/home-buying-budget-calculator,320,1,200,false,1,1,0,true,1,1,72,0,8,true,false,6,0,EH0IyY6JnzVJFzswcpSZ6,false,1,10,8,102
