group,url,mobile_browser_status,mobile_browser_pass,mobile_browser_details,status,final_url,redirect_count,canonical,self_canonical,meta_noindex_absent,x_robots_noindex_absent,h1_count,title_present,description_present,sitemap_membership,expected_locale,hreflang_present,jsonld_parse,article_count,faq_status,cta_target_200,not_error_screen,snippet_hygiene,calculator_static,ga4_loader_present,pass
KO Track B,https://www.finmaphub.com/posts/personalFinance/what-is-cagr,PASS,true,320px:PASS 390px:PASS,200,http://127.0.0.1:8002/posts/personalFinance/what-is-cagr,0,https://www.finmaphub.com/posts/personalFinance/what-is-cagr,true,true,true,1,true,true,true,true,true,true,1,NOT_APPLICABLE,true,true,true,NOT_APPLICABLE,false,true
KO Track B,https://www.finmaphub.com/tools/home-buying-budget-calculator,PASS,true,320px:PASS 390px:PASS,200,http://127.0.0.1:8002/tools/home-buying-budget-calculator,0,https://www.finmaphub.com/tools/home-buying-budget-calculator,true,true,true,1,true,true,true,true,true,true,0,NOT_APPLICABLE,true,true,true,STATIC_HTML_PASS_BROWSER_MANUAL_RECOMMENDED,false,true
KO Track B,https://www.finmaphub.com/posts/personalFinance/dsr-40-income-loan-limit-table,PASS,true,320px:PASS 390px:PASS,200,http://127.0.0.1:8002/posts/personalFinance/dsr-40-income-loan-limit-table,0,https://www.finmaphub.com/posts/personalFinance/dsr-40-income-loan-limit-table,true,true,true,1,true,true,true,true,true,true,1,PASS,true,true,true,NOT_APPLICABLE,false,true
EN Track A,https://www.finmaphub.com/en/posts/personalFinance/how-much-to-invest-monthly-for-target-portfolio,PASS,true,320px:PASS 390px:PASS,200,http://127.0.0.1:8002/en/posts/personalFinance/how-much-to-invest-monthly-for-target-portfolio,0,https://www.finmaphub.com/en/posts/personalFinance/how-much-to-invest-monthly-for-target-portfolio,true,true,true,1,true,true,true,true,true,true,1,PASS,true,true,true,NOT_APPLICABLE,false,true
EN Track A,https://www.finmaphub.com/en/posts/personalFinance/annual-vs-monthly-compound,PASS,true,320px:PASS 390px:PASS,200,http://127.0.0.1:8002/en/posts/personalFinance/annual-vs-monthly-compound,0,https://www.finmaphub.com/en/posts/personalFinance/annual-vs-monthly-compound,true,true,true,1,true,true,true,true,true,true,1,PASS,true,true,true,NOT_APPLICABLE,false,true
EN Track A,https://www.finmaphub.com/en/posts/personalFinance/is-dca-better-in-a-bear-market,PASS,true,320px:PASS 390px:PASS,200,http://127.0.0.1:8002/en/posts/personalFinance/is-dca-better-in-a-bear-market,0,https://www.finmaphub.com/en/posts/personalFinance/is-dca-better-in-a-bear-market,true,true,true,1,true,true,true,true,true,true,1,PASS,true,true,true,NOT_APPLICABLE,false,true
Google top loss calculator,https://www.finmaphub.com/tools/compound-interest,PASS,true,320px:PASS 390px:PASS,200,http://127.0.0.1:8002/tools/compound-interest,0,https://www.finmaphub.com/tools/compound-interest,true,true,true,1,true,true,true,true,true,true,0,PASS,true,true,true,STATIC_HTML_PASS_BROWSER_MANUAL_RECOMMENDED,false,true
Google top loss calculator,https://www.finmaphub.com/tools/cagr-calculator,PASS,true,320px:PASS 390px:PASS,200,http://127.0.0.1:8002/tools/cagr-calculator,0,https://www.finmaphub.com/tools/cagr-calculator,true,true,true,1,true,true,true,true,true,true,0,PASS,true,true,true,STATIC_HTML_PASS_BROWSER_MANUAL_RECOMMENDED,false,true
Google top loss calculator,https://www.finmaphub.com/tools/dca-calculator,PASS,true,320px:PASS 390px:PASS,200,http://127.0.0.1:8002/tools/dca-calculator,0,https://www.finmaphub.com/tools/dca-calculator,true,true,true,1,true,true,true,true,true,true,0,PASS,true,true,true,STATIC_HTML_PASS_BROWSER_MANUAL_RECOMMENDED,false,true
Google top loss calculator,https://www.finmaphub.com/tools/goal-simulator,PASS,true,320px:PASS 390px:PASS,200,http://127.0.0.1:8002/tools/goal-simulator,0,https://www.finmaphub.com/tools/goal-simulator,true,true,true,1,true,true,true,true,true,true,0,PASS,true,true,true,STATIC_HTML_PASS_BROWSER_MANUAL_RECOMMENDED,false,true
