status,url,locale,content_type,category,role,previous_clicks,recent_clicks,click_delta,previous_impressions,recent_impressions,impression_delta,impression_change_rate,lost_impression_share,previous_ctr,recent_ctr,ctr_pp_delta,previous_position,recent_position,position_delta,path_group,inventory_match,sitemap_membership,current_title,current_h1,last_modified,recent_local_change,currently_deployed_change,diagnosis,confidence,recommended_action
MAJOR_IMPRESSION_LOSS,/tools/compound-interest,ko,calculator,tools,PRIMARY_TOOL,0,0,0,139,9,-130,-0.935252,0.321782,0,0,0,12.32,10.44,-1.88,/tools/,LOCAL_INVENTORY_MATCH,IN_SITEMAP,복리 계산기 | 월복리·적립식 투자 미래가치 계산,복리 계산기,,NOT_MODIFIED_BY_P1_2B,DEPLOY_DATE_PENDING_OR_UNKNOWN,MAJOR_IMPRESSION_LOSS,MEDIUM_STATIC_INVENTORY_JOIN,URL_INSPECTION_RECHECK
MAJOR_IMPRESSION_LOSS,/tools/cagr-calculator,ko,calculator,tools,PRIMARY_TOOL,0,0,0,47,3,-44,-0.93617,0.108911,0,0,0,8.53,11.33,2.8,/tools/,LOCAL_INVENTORY_MATCH,IN_SITEMAP,CAGR 계산기 (연평균 수익률·연복리 수익률·연평균 성장률),CAGR 계산기 (연평균 수익률·연복리 수익률·연평균 성장률),,NOT_MODIFIED_BY_P1_2B,DEPLOY_DATE_PENDING_OR_UNKNOWN,MAJOR_IMPRESSION_LOSS,MEDIUM_STATIC_INVENTORY_JOIN,URL_INSPECTION_RECHECK
LOW_SAMPLE,/tools/dca-calculator,ko,calculator,tools,PRIMARY_TOOL,0,0,0,18,2,-16,-0.888889,0.039604,0,0,0,8.17,14,5.83,/tools/,LOCAL_INVENTORY_MATCH,IN_SITEMAP,ETF·주식 자동 적립식 시뮬레이터 (DCA),ETF·주식 자동 적립식 시뮬레이터 (DCA),,NOT_MODIFIED_BY_P1_2B,DEPLOY_DATE_PENDING_OR_UNKNOWN,LOW_SAMPLE,MEDIUM_STATIC_INVENTORY_JOIN,NO_CHANGE_OBSERVE
POSITION_DROP,/posts/personalFinance/how-much-per-month-for-100m,ko,post,personalFinance,SUPPORTING_ARTICLE,0,0,0,21,11,-10,-0.47619,0.024752,0,0,0,7.48,18.64,11.16,/posts/,LOCAL_INVENTORY_MATCH,IN_SITEMAP,1억 모으려면 월 얼마? 5년·10년·15년 필요 투자금,1억 모으려면 월 얼마? 5년·10년·15년 필요 투자금,,NOT_MODIFIED_BY_P1_2B,DEPLOY_DATE_PENDING_OR_UNKNOWN,POSITION_DROP,MEDIUM_STATIC_INVENTORY_JOIN,NO_CHANGE_OBSERVE
LOW_SAMPLE,/market/real-estate,ko,real_estate,realEstate,PRIMARY_HUB,0,0,0,12,3,-9,-0.75,0.022277,0,0,0,5.67,14,8.33,/market/real-estate/,LOCAL_INVENTORY_MATCH,IN_SITEMAP,서울·경기·인천 아파트 실거래 대시보드,서울·경기·인천 아파트 실거래 대시보드,,NOT_MODIFIED_BY_P1_2B,DEPLOY_DATE_PENDING_OR_UNKNOWN,LOW_SAMPLE,MEDIUM_STATIC_INVENTORY_JOIN,NO_CHANGE_OBSERVE
DISAPPEARED_FROM_REPORT,/en,en,other,,,0,0,0,9,0,-9,-1,0.022277,0,,,1.78,,,other,INVENTORY_SCOPE_GAP,IN_SITEMAP,,,,NOT_MODIFIED_BY_P1_2B,DEPLOY_DATE_PENDING_OR_UNKNOWN,DISAPPEARED_FROM_REPORT,LOW_INVENTORY_GAP,URL_INSPECTION_RECHECK
LOW_SAMPLE,/sitemap-pages,ko,other,,,0,0,0,11,3,-8,-0.727273,0.019802,0,0,0,5.73,8.67,2.94,other,INVENTORY_SCOPE_GAP,IN_SITEMAP,,,,NOT_MODIFIED_BY_P1_2B,DEPLOY_DATE_PENDING_OR_UNKNOWN,LOW_SAMPLE,LOW_INVENTORY_GAP,NO_CHANGE_OBSERVE
LOW_SAMPLE,/market/real-estate/seoul-top100,ko,real_estate,realEstate,DATA_PAGE,0,0,0,9,1,-8,-0.888889,0.019802,0,0,0,2,1,-1,/market/real-estate/,LOCAL_INVENTORY_MATCH,IN_SITEMAP,서울 아파트 집값 Top 100 | 서울 실거래 순위,서울 아파트 집값 TOP 100,,NOT_MODIFIED_BY_P1_2B,DEPLOY_DATE_PENDING_OR_UNKNOWN,LOW_SAMPLE,MEDIUM_STATIC_INVENTORY_JOIN,NO_CHANGE_OBSERVE
LOW_SAMPLE,/market/real-estate/seoul-apartment-top100,ko,real_estate,realEstate,DATA_PAGE,0,0,0,9,2,-7,-0.777778,0.017327,0,0,0,4.22,24,19.78,/market/real-estate/,LOCAL_INVENTORY_MATCH,IN_SITEMAP,,,,NOT_MODIFIED_BY_P1_2B,DEPLOY_DATE_PENDING_OR_UNKNOWN,LOW_SAMPLE,MEDIUM_STATIC_INVENTORY_JOIN,NO_CHANGE_OBSERVE
DISAPPEARED_FROM_REPORT,/market/real-estate/apt/11440||신정동|서강GS,ko,real_estate,real-estate,,0,0,0,7,0,-7,-1,0.017327,0,,,9.57,,,/market/real-estate/,INVENTORY_SCOPE_GAP,NOT_FOUND_IN_LOCAL_SITEMAP,,,,NOT_MODIFIED_BY_P1_2B,DEPLOY_DATE_PENDING_OR_UNKNOWN,DISAPPEARED_FROM_REPORT,LOW_INVENTORY_GAP,URL_INSPECTION_RECHECK
