Date,Clicks,Impressions,Avg. CTR
4/23/2026 12:00:00 AM,1,12,8.33
4/24/2026 12:00:00 AM,0,14,0
4/25/2026 12:00:00 AM,0,7,0
4/26/2026 12:00:00 AM,0,11,0
4/27/2026 12:00:00 AM,0,26,0
4/28/2026 12:00:00 AM,0,12,0
4/29/2026 12:00:00 AM,0,19,0
4/30/2026 12:00:00 AM,0,8,0
5/1/2026 12:00:00 AM,0,13,0
5/2/2026 12:00:00 AM,0,3,0
5/3/2026 12:00:00 AM,0,17,0
5/4/2026 12:00:00 AM,0,21,0
5/5/2026 12:00:00 AM,2,19,10.53
5/6/2026 12:00:00 AM,0,23,0
5/7/2026 12:00:00 AM,0,10,0
5/8/2026 12:00:00 AM,1,22,4.55
5/9/2026 12:00:00 AM,0,10,0
5/10/2026 12:00:00 AM,0,17,0
5/11/2026 12:00:00 AM,0,20,0
5/12/2026 12:00:00 AM,0,26,0
5/13/2026 12:00:00 AM,0,20,0
5/14/2026 12:00:00 AM,0,20,0
5/15/2026 12:00:00 AM,1,21,4.76
5/16/2026 12:00:00 AM,0,7,0
5/17/2026 12:00:00 AM,0,19,0
5/18/2026 12:00:00 AM,0,32,0
5/19/2026 12:00:00 AM,0,21,0
5/20/2026 12:00:00 AM,0,20,0
5/21/2026 12:00:00 AM,0,18,0
5/22/2026 12:00:00 AM,0,8,0
5/23/2026 12:00:00 AM,0,10,0
5/24/2026 12:00:00 AM,0,8,0
5/25/2026 12:00:00 AM,0,16,0
5/26/2026 12:00:00 AM,0,20,0
5/27/2026 12:00:00 AM,0,14,0
5/28/2026 12:00:00 AM,0,21,0
5/29/2026 12:00:00 AM,0,14,0
5/30/2026 12:00:00 AM,0,8,0
5/31/2026 12:00:00 AM,0,17,0
6/1/2026 12:00:00 AM,0,14,0
6/2/2026 12:00:00 AM,1,15,6.67
6/3/2026 12:00:00 AM,0,14,0
6/4/2026 12:00:00 AM,1,25,4
6/5/2026 12:00:00 AM,0,27,0
6/6/2026 12:00:00 AM,0,8,0
6/7/2026 12:00:00 AM,1,16,6.25
6/8/2026 12:00:00 AM,0,21,0
6/9/2026 12:00:00 AM,0,11,0
6/10/2026 12:00:00 AM,0,16,0
6/11/2026 12:00:00 AM,0,14,0
6/12/2026 12:00:00 AM,0,24,0
6/13/2026 12:00:00 AM,0,8,0
6/14/2026 12:00:00 AM,0,13,0
6/15/2026 12:00:00 AM,0,21,0
6/16/2026 12:00:00 AM,0,21,0
6/17/2026 12:00:00 AM,1,275,0.36
6/18/2026 12:00:00 AM,0,91,0
6/19/2026 12:00:00 AM,0,57,0
6/20/2026 12:00:00 AM,0,87,0
6/21/2026 12:00:00 AM,0,75,0
6/22/2026 12:00:00 AM,0,73,0
6/23/2026 12:00:00 AM,0,124,0
6/24/2026 12:00:00 AM,1,111,0.9
6/25/2026 12:00:00 AM,0,50,0
6/26/2026 12:00:00 AM,0,11,0
6/27/2026 12:00:00 AM,0,4,0
6/28/2026 12:00:00 AM,0,8,0
6/29/2026 12:00:00 AM,1,16,6.25
6/30/2026 12:00:00 AM,1,19,5.26
7/1/2026 12:00:00 AM,0,13,0
7/2/2026 12:00:00 AM,0,18,0
7/3/2026 12:00:00 AM,0,4,0
7/4/2026 12:00:00 AM,0,4,0
7/5/2026 12:00:00 AM,1,11,9.09
7/6/2026 12:00:00 AM,0,10,0
7/7/2026 12:00:00 AM,0,8,0
7/8/2026 12:00:00 AM,0,17,0
7/9/2026 12:00:00 AM,0,20,0
7/10/2026 12:00:00 AM,0,5,0
7/11/2026 12:00:00 AM,0,3,0
7/12/2026 12:00:00 AM,0,12,0
7/13/2026 12:00:00 AM,0,20,0
7/14/2026 12:00:00 AM,0,28,0
7/15/2026 12:00:00 AM,1,22,4.55
7/16/2026 12:00:00 AM,0,9,0
7/17/2026 12:00:00 AM,1,22,4.55
7/18/2026 12:00:00 AM,0,12,0
7/19/2026 12:00:00 AM,1,8,12.5
