Page,Impressions,Clicks,CTR,Avg. Position
https://www.finmaphub.com/en/posts/personalFinance/how-much-to-invest-monthly-for-target-portfolio,399,0,0%,5.348354637
https://www.finmaphub.com/en/posts/personalFinance/is-dca-better-in-a-bear-market,349,0,0%,3.876784527
https://www.finmaphub.com/en/posts/investingInfo/dxy-dollar-index-basics,300,0,0%,8.323328333
https://www.finmaphub.com/en/posts/personalFinance/annual-vs-monthly-compound,145,0,0%,8.613792414
https://www.finmaphub.com/en/posts/investingInfo/tnx-basics,121,2,1.65%,4.917356198
https://www.finmaphub.com/en/posts/personalFinance/dca-vs-lump-sum-when-results-differ,40,0,0%,5.9749825
https://www.finmaphub.com/posts/economicInfo/inflation-rate-basics,31,0,0%,7.096764516
https://www.finmaphub.com/en/posts/economicInfo/real-rates-and-breakevens,26,1,3.85%,6.615384615
https://www.finmaphub.com/en/posts/investingInfo/usd-krw-exchange-rate-and-kospi,25,1,4%,6.2
https://www.finmaphub.com/en/tools/dca-calculator,22,2,9.09%,4.772727273
https://www.finmaphub.com/en/posts/investingInfo/cagr-7percent-reality-check,22,1,4.55%,3.636368182
https://www.finmaphub.com/en/posts/investingInfo/sp500-impact-on-korea-kospi,17,0,0%,5.588223529
https://www.finmaphub.com/en/posts/economicInfo/yield-curve-2s10s-3m10y-recession-reading,16,0,0%,6.75
https://www.finmaphub.com/market/real-estate/seoul-top100,13,1,7.69%,5.384615385
https://www.finmaphub.com/en/posts/investingInfo/why-check-cagr-etf,13,1,7.69%,3.384615385
https://www.finmaphub.com/posts/personalFinance/what-is-cagr,12,1,8.33%,7.416666667
https://www.finmaphub.com/market/real-estate/songpa-top100,11,2,18.18%,3
https://www.finmaphub.com/en/posts/personalFinance/what-is-cagr,11,0,0%,6.363636364
https://www.finmaphub.com/en/posts/investingInfo/etf-impact-of-tnx,9,1,11.11%,4.111111111
https://www.finmaphub.com/en/market/real-estate,8,0,0%,3.625025
https://www.finmaphub.com/market/real-estate/magok-top100,7,0,0%,5.428571429
https://www.finmaphub.com/tools/cagr-calculator,7,0,0%,7
https://www.finmaphub.com/en/posts/investingInfo/diagnose-investing-skill-with-cagr,6,0,0%,7
https://www.finmaphub.com/en/posts/investingInfo/dca-consistency-7-fail-patterns,6,0,0%,4.333333333
https://www.finmaphub.com/en/posts/economicInfo/inflation-rate-basics,6,0,0%,5.5
https://www.finmaphub.com/market,6,0,0%,10
https://www.finmaphub.com/en/tools,6,0,0%,6.833333333
https://www.finmaphub.com/posts/economicInfo/interest-rate-basics,5,0,0%,6.6
https://www.finmaphub.com/en/market/real-estate/gangnam-top100,5,0,0%,6.8
https://www.finmaphub.com/en/posts/personalFinance/fire-sequence-risk-first-5-years,5,0,0%,3.2
https://www.finmaphub.com/en/posts/investingInfo/usd-krw-weak-won-sector-map-kospi,5,1,20%,5.8
https://www.finmaphub.com/en/posts/investingInfo/indicator-marketinfo,4,0,0%,4
https://www.finmaphub.com/en/posts/economicInfo/interest-rate-basics,4,0,0%,6
https://www.finmaphub.com/en/posts/personalFinance/personal-finance-3pillars,4,0,0%,3.25
https://www.finmaphub.com/en/posts/economicInfo/indicator-basics,4,0,0%,6
https://www.finmaphub.com/en/posts/economicInfo/fx-basics,4,0,0%,7.25
https://www.finmaphub.com/tools/dca-calculator,4,1,25%,3.750025
https://www.finmaphub.com/en/posts/investingInfo/dxy-market-impact,4,0,0%,5
https://www.finmaphub.com/posts/personalFinance/cash-100m-200m-300m-apartment-budget,4,1,25%,4
https://www.finmaphub.com/,3,0,0%,3
https://www.finmaphub.com/posts/economicInfo/real-rates-and-breakevens,3,0,0%,4.333333333
https://www.finmaphub.com/market/real-estate/gangnam-top100,3,0,0%,8.333333333
https://www.finmaphub.com/posts/personalFinance/dsr-40-income-loan-limit-table,3,0,0%,6.6667
https://www.finmaphub.com/en/posts/investingInfo/korea-etf-deep-dive-tnx,3,0,0%,7.666666667
https://www.finmaphub.com/en/posts/personalFinance/fire-assumption-errors-7-fixes,3,0,0%,4.666666667
https://www.finmaphub.com/en/tools/goal-simulator,3,0,0%,6.666666667
https://www.finmaphub.com/posts/investingInfo/indicator-marketinfo,3,0,0%,4.666666667
https://www.finmaphub.com/en/posts/personalFinance/dsr-40-income-loan-limit-table,2,0,0%,3
https://www.finmaphub.com/tools/fire-calculator,2,0,0%,9
https://www.finmaphub.com/en/posts/economicInfo/geopolitics-to-usd-liquidity-fx,2,0,0%,6.5
https://www.finmaphub.com/market/real-estate/apt/41360%7C%7C%EB%B3%84%EB%82%B4%EB%A9%B4%20%EC%B2%AD%ED%95%99%EB%A6%AC%7C%EC%B2%AD%ED%95%99%EC%A3%BC%EA%B3%B5(7%EB%8B%A8%EC%A7%80),2,0,0%,4
https://www.finmaphub.com/en/tools/cagr-calculator,2,0,0%,7
https://www.finmaphub.com/en/about,2,0,0%,7.5
https://www.finmaphub.com/posts/personalFinance/personal-finance-3pillars,2,0,0%,5
https://www.finmaphub.com/posts/personalFinance/annual-vs-monthly-compound,2,0,0%,5
https://www.finmaphub.com/market/real-estate,2,0,0%,6
https://www.finmaphub.com/en/market/real-estate/seoul-top100,2,0,0%,4
https://www.finmaphub.com/en/tools/fire-calculator,2,0,0%,8
https://www.finmaphub.com/en/posts/personalFinance/how-much-per-month-for-100m,2,0,0%,2
https://www.finmaphub.com/market/real-estate/apt/41630%7C%7C%EA%B3%A0%EC%95%94%EB%8F%99%7C%EC%A3%BC%EC%9B%90%EB%A7%88%EC%9D%84(%EC%A3%BC%EA%B3%B52%EB%8B%A8%EC%A7%80),1,0,0%,5
https://www.finmaphub.com/en/market/real-estate/gangnam3-top100,1,0,0%,8
https://www.finmaphub.com/en/posts/economicInfo/hormuz-risk-oil-insurance-freight-premium,1,0,0%,1
https://www.finmaphub.com/market/real-estate/mayongseong-top100,1,0,0%,3
https://www.finmaphub.com/en/posts/personalFinance/dca-step-up-ruleset,1,0,0%,1
https://www.finmaphub.com/en/posts/investingInfo/bond-etf-duration-drives-returns,1,0,0%,9
https://www.finmaphub.com/en/posts/economicInfo/war-risk-oil-supply-insurance-shipping,1,0,0%,6
https://www.finmaphub.com/en/posts/personalFinance/dca-vs-lumpsum-decision-rules,1,0,0%,3
https://www.finmaphub.com/market/real-estate/apt/41280%7C%EB%8D%95%EC%96%91%EA%B5%AC%7C%ED%99%94%EC%A0%95%EB%8F%99%7C%EC%98%A5%EB%B9%9B%EB%A7%88%EC%9D%84(%EC%A3%BC%EA%B3%B5)15,1,0,0%,5
https://www.finmaphub.com/market/real-estate/apt/41280%7C%EB%8D%95%EC%96%91%EA%B5%AC%7C%ED%99%94%EC%A0%95%EB%8F%99%7C%EB%8B%AC%EB%B9%9B%EB%A7%88%EC%9D%84(%EB%B6%80%EC%98%81)2,1,0,0%,5
https://www.finmaphub.com/en/posts/personalFinance/high-rate-debt-vs-invest-threshold-rule,1,0,0%,6
https://www.finmaphub.com/posts/personalFinance/first-home-buyer-budget-calculation,1,0,0%,6
https://www.finmaphub.com/market/real-estate/apt/41190%7C%EC%9B%90%EB%AF%B8%EA%B5%AC%7C%EC%83%81%EB%8F%99%7C%EB%B0%98%EB%8B%AC%EB%A7%88%EC%9D%84(%EA%B7%B9%EB%8F%99%EC%8B%A0%EB%9D%BC),1,0,0%,9
https://www.finmaphub.com/en/posts/personalFinance/compound-return-3-5-7-10-table,1,0,0%,7
https://www.finmaphub.com/posts/investingInfo/tnx-basics,1,0,0%,10
https://www.finmaphub.com/tools/dsr-ltv-calculator,1,0,0%,7
https://www.finmaphub.com/en/posts/personalFinance/cash-100m-200m-300m-apartment-budget,1,0,0%,10
https://www.finmaphub.com/posts/economicInfo/policy-rate-cut-market-rates,1,0,0%,4
https://www.finmaphub.com/en/posts/personalFinance/dsr-pass-ltv-cash-bottleneck,1,0,0%,4
https://www.finmaphub.com/en/market/real-estate/songpa-gangnam-top100,1,0,0%,5
https://www.finmaphub.com/posts/investingInfo/why-check-cagr-etf,1,0,0%,7
https://www.finmaphub.com/posts/economicInfo/fx-basics,1,0,0%,7
https://www.finmaphub.com/en/market/real-estate/magok-top100,1,0,0%,1
https://www.finmaphub.com/en/tools/dsr-ltv-calculator,1,0,0%,3
