날짜,클릭수,노출,CTR,게재 순위
2026-06-17,0,10,0%,13.3
2026-06-18,0,10,0%,8.1
2026-06-19,0,4,0%,10.2
2026-06-20,0,4,0%,8
2026-06-21,0,4,0%,7.8
2026-06-22,0,10,0%,15.7
2026-06-23,0,13,0%,9
2026-06-24,0,13,0%,7.5
2026-06-25,0,5,0%,8.4
2026-06-26,0,4,0%,15.2
2026-06-27,0,6,0%,11.3
2026-06-28,0,8,0%,4.1
2026-06-29,0,14,0%,8.5
2026-06-30,0,7,0%,8.4
2026-07-01,0,7,0%,8.9
2026-07-02,0,1,0%,4
2026-07-03,0,1,0%,10
2026-07-04,0,2,0%,5.5
2026-07-05,0,1,0%,7
2026-07-06,0,2,0%,9.5
2026-07-07,0,1,0%,8
2026-07-08,0,0,,
2026-07-09,0,2,0%,8
2026-07-10,0,0,,
2026-07-11,0,4,0%,3.5
2026-07-12,0,11,0%,9.6
2026-07-13,0,2,0%,5
2026-07-14,0,1,0%,5
2026-07-15,0,6,0%,8.7
2026-07-16,0,9,0%,5.6
2026-07-17,0,3,0%,9.3
2026-07-18,0,2,0%,24
2026-07-19,0,1,0%,6
