No,검색웹문서,클릭,노출,CTR(%)
1,https://www.finmaphub.com/tools/dsr-ltv-calculator,118,"34,584",0.3
2,https://www.finmaphub.com/tools/cagr-calculator,95,"16,270",0.6
3,https://www.finmaphub.com/posts/personalFinance/what-is-cagr,53,"5,084",1
4,https://www.finmaphub.com/market/real-estate/seoul-top100,43,"2,837",1.5
5,https://www.finmaphub.com/posts/investingInfo/usd-krw-weak-won-sector-map-kospi,40,"1,365",2.9
6,https://www.finmaphub.com/market/real-estate/magok-top100,40,"1,282",3.1
7,https://www.finmaphub.com/market/real-estate/songpa-top100,35,"2,302",1.5
8,https://www.finmaphub.com/market/real-estate/gangnam3-top100,31,471,6.6
9,https://www.finmaphub.com/tools/dca-calculator,22,630,3.5
10,https://www.finmaphub.com/posts/economicInfo/inflation-rate-basics,21,"2,331",0.9
11,https://www.finmaphub.com/tools/compound-interest,20,"5,298",0.4
12,https://www.finmaphub.com/posts/personalFinance/dsr-40-income-loan-limit-table,18,538,3.3
13,https://www.finmaphub.com/market/real-estate/gangnam-top100,11,887,1.2
14,https://www.finmaphub.com/posts/personalFinance/annual-vs-monthly-compound,9,332,2.7
15,https://www.finmaphub.com/posts/personalFinance/compound-return-3-5-7-10-table,9,84,10.7
16,https://www.finmaphub.com/posts/investingInfo/usd-krw-exchange-rate-and-kospi,7,"2,985",0.2
17,https://www.finmaphub.com/tools/goal-simulator,7,49,14.3
18,https://www.finmaphub.com/tools/fire-calculator,6,118,5.1
19,https://www.finmaphub.com/posts/investingInfo/wti-impact-on-korea-kospi,6,100,6
20,https://www.finmaphub.com/posts/investingInfo/dxy-dollar-index-basics,5,"2,575",0.2
21,https://www.finmaphub.com/market/real-estate/gyeonggi-apartment-top100,5,206,2.4
22,https://www.finmaphub.com/posts/investingInfo/cagr-7percent-reality-check,4,"1,533",0.3
23,https://www.finmaphub.com/tools,4,142,2.8
24,https://www.finmaphub.com/market/real-estate,4,62,6.5
25,https://www.finmaphub.com/market/real-estate/seoul-apartment-top100,3,328,0.9
26,https://www.finmaphub.com/posts/personalFinance/simple-vs-compound,3,253,1.2
27,https://www.finmaphub.com/posts/investingInfo/bond-etf-duration-drives-returns,3,151,2
28,https://www.finmaphub.com/posts/personalFinance/how-much-per-month-for-100m,3,148,2
29,https://www.finmaphub.com/posts/personalFinance/dca-step-up-ruleset,3,39,7.7
30,https://www.finmaphub.com/posts/investingInfo/why-check-cagr-etf,2,"1,283",0.2
