No,검색키워드,클릭,노출,CTR(%)
1,cagr,47,"15,244",0.3
2,ltv dsr 계산기,24,176,13.6
3,마곡 집값,19,816,2.3
4,연평균 수익률 계산기,19,158,12
5,강남 집값 순위,18,162,11.1
6,cagr 계산법,12,"1,441",0.8
7,아파트 구매 계산기,12,18,66.7
8,서울 집값 순위,10,"2,280",0.4
9,주담대 원리금 계산기,10,518,1.9
10,원화약세피해주,10,145,6.9
11,잠실 집값,9,769,1.2
12,서울 아파트값 순위,8,31,25.8
13,연평균 수익률 계산,8,24,33.3
14,잠실 집값 순위,7,20,35
15,서울 아파트 집값 순위,7,19,36.8
16,dca 복리 시뮬레이터,6,84,7.1
17,강남 아파트 순위,5,369,1.4
18,연소득 계산기,5,195,2.6
19,아파트 구매 대출 계산,5,65,7.7
20,주담대 dsr 계산기,4,785,0.5
21,물가가 오르면 금리,4,430,0.9
22,cagr 읽는법,4,314,1.3
23,주택담보대출 dsr 계산기,4,219,1.8
24,환율상승 수혜주,4,213,1.9
25,송파구 집값 순위,4,20,20
26,마곡아파트가격순위,4,7,57.1
27,서울 아파트 순위 100,4,5,80
28,서울 집값 순위 아파트,4,4,100
29,아파트 대출금 계산기,3,669,0.4
30,잠실 아파트 순위,3,580,0.5
